From Date,t2m,i10fg,tp,sp
2024-01-01,283.0977534149999,3.1335411569599994,2.3975101859804898e-08,99167.72459339997
2024-01-02,282.6345394699999,2.9765314980100004,1.7692573112599098e-09,99104.47171829999
2024-01-03,283.22679549699984,2.9115144578799983,4.0580113178569804e-07,99085.08841609994
2024-01-04,284.5119228790003,3.0151457232600034,3.025211035353535e-07,99105.6222566
2024-01-05,285.68526172599996,2.7495239437099963,1.2998000000000012e-05,99144.14342169995
2024-01-06,285.01460137399977,2.9941521588200004,1.424137619047619e-06,99268.3089843
2024-01-07,284.14462657099995,2.757680546539996,1.7692573112599098e-09,99322.55719059998
2024-01-08,284.34728768499997,2.6382000259099994,1.7692573112599098e-09,99319.81390169995
2024-01-09,284.5718155160001,5.127611183570004,1.7692573112599098e-09,99330.30227680001
2024-01-10,283.2059501139999,5.550516274289995,1.7692573112599098e-09,99165.28536159999
2024-01-11,283.55106501299974,4.632844058509998,1.7692573112599098e-09,99223.50457319996
2024-01-12,284.03155368499995,3.9482748957799982,1.7692573112599098e-09,99108.27076299996
2024-01-13,284.060674434,2.6265086780499973,7.232189408696517e-08,99046.35217719995
2024-01-14,283.1073416359999,3.7567892042400017,3.0232774685797028e-09,99067.47344559999
2024-01-15,282.6048482439998,3.4285679383300023,1.7692573112599098e-09,98972.59753685
2024-01-16,282.61925812599975,3.590640885539997,2.3314768526471564e-08,98791.65716189997
2024-01-17,282.491736726,4.084915154549998,1.7692573112599098e-09,98859.2676639
2024-01-18,282.9797987539999,3.014742443890004,1.7692573112599098e-09,99064.00362119998
2024-01-19,282.37144085599994,3.35797003454,1.7692573112599098e-09,99204.53815759993
2024-01-20,283.2387799889999,3.164629434850001,7.089482142857146e-07,99232.95059929995
2024-01-21,282.78409983699987,4.706169814700005,1.7692573112599098e-09,99167.765397
2024-01-22,282.73399877099985,2.9111951949399986,1.7692573112599098e-09,99267.7873959
2024-01-23,284.7172024669998,2.7182458482999983,1.7692573112599098e-09,99103.23408800003
2024-01-24,284.2532244499999,3.010378220230004,2.283099047619048e-06,99201.8870948999
2024-01-25,284.0308729199999,2.6234681138899982,1.7692573112599098e-09,99370.23312440001
2024-01-26,285.3655758589998,2.6373104276899983,1.7692573112599098e-09,99448.46184490003
2024-01-27,287.0681489169999,4.606602682649999,1.7692573112599098e-09,99204.75096809995
2024-01-28,286.8378977230002,4.467662639959999,1.7692573112599098e-09,99098.15694360003
2024-01-29,288.0080742620002,3.368569064200002,1.7692573112599098e-09,99074.2143765
2024-01-30,287.3570509599998,2.933563436519999,1.7692573112599098e-09,99006.10621750008
2024-01-31,288.1576777129999,4.710292724820003,0.0005990079999999998,98836.39997020003
2024-02-01,288.8865059319999,5.900886313829993,3.183399999999999e-05,98981.78905660003
2024-02-02,287.0232699959999,4.859019077040002,6.132955833333333e-07,99218.94748909998
2024-02-03,289.0376244449999,3.6687589449599987,4.609700000000002e-05,99054.88928349993
2024-02-04,289.494567546,4.792893197579996,0.00047088426499999956,98949.55149450002
2024-02-05,288.01280012800004,4.436250379689998,6.067325000000004e-06,99134.5257812999
2024-02-06,286.42763818200024,4.854168908350001,1.7692573112599098e-09,99301.56993429994
2024-02-07,286.85788295599986,6.789573236899997,1.7692573112599098e-09,99342.2276201
2024-02-08,287.71739667500015,8.269266098489991,1.7692573112599098e-09,99124.21707150007
2024-02-09,288.2252628660001,3.815357098490001,1.7692573112599098e-09,99293.06519249998
2024-02-10,288.1816006749998,3.274230323040001,1.7692573112599098e-09,99445.6325426
2024-02-11,288.4161854680001,3.4786623819399973,1.7692573112599098e-09,99369.01351839997
2024-02-12,289.086542051,2.38836726127,1.7692573112599098e-09,99259.98730349999
2024-02-13,289.1524106860001,2.9692080240300016,1.7692573112599098e-09,99186.18707340004
2024-02-14,289.84104336,4.156523767450002,1.7692573112599098e-09,99185.60281960007
2024-02-15,289.6786015050001,3.991882453169999,1.7692573112599098e-09,99278.3481782
2024-02-16,289.708483141,3.864837360239999,1.7692573112599098e-09,99244.34338180005
2024-02-17,290.3343079629997,4.027181287820003,1.7692573112599098e-09,98765.56671889994
2024-02-18,293.0796635040002,5.3076054303800015,1.7692573112599098e-09,98541.8151522
2024-02-19,293.661505755,8.114195752550001,1.0272400000000005e-05,98328.19904980002
2024-02-20,293.7874711520002,3.450136641190001,1.7692573112599098e-09,98361.69140480005
2024-02-21,291.7414653339999,4.353473881560002,2.5217006219672845e-08,98409.01049139997
2024-02-22,290.64600854900016,4.659140834759998,6.697651071428573e-07,98738.34933179995
2024-02-23,289.63997368800017,4.5208529378699955,1.7692573112599098e-09,98913.39399930005
2024-02-24,290.02024370399994,3.1768183671399997,1.6274999999999975e-05,98981.62808140006
2024-02-25,290.69841473999986,4.0738177069599955,1.7692573112599098e-09,99167.39044459997
2024-02-26,291.70169975199974,2.735607614959999,3.1035849999999996e-06,99114.8693251
2024-02-27,290.89619856800005,5.111539449370003,1.5670000000000008e-05,99103.73519059998
2024-02-28,291.24333342200003,5.946281058300003,1.7692573112599098e-09,98889.26933939997
2024-02-29,292.53853899,4.339625021960001,1.7692573112599098e-09,98820.05017469998
2024-03-01,294.724964357,5.987758689860001,2.8593000000000002e-05,98643.3698989
2024-03-02,293.18775678000014,8.471085910279994,0.0011067740099999993,98420.7781974
2024-03-03,291.0278524559998,4.8384029003399975,4.137900000000002e-05,98593.38929410007
2024-03-04,289.471076082,4.947142438280004,2.393056887051765e-09,99022.8376722001
2024-03-05,289.08446157799995,5.409109481080003,1.9063589785837288e-07,99017.31793460005
2024-03-06,289.81126906000003,4.328709423570001,4.077184444444444e-06,98848.31500469673
2024-03-07,291.50170127720054,4.390112674660001,1.7692573112599098e-09,98841.12784899997
2024-03-08,292.01133820999996,4.897658177330001,1.7692573112599098e-09,98908.66741690002
2024-03-09,292.02138139699997,5.233769328529999,1.7692573112599098e-09,98880.62274659995
2024-03-10,293.8936258910001,4.100732206349997,6.507865000000003e-06,98887.02516189995
2024-03-11,295.8107378800004,3.862882676409998,1.7692573112599098e-09,98900.91386599997
2024-03-12,295.08193054,4.162152311670002,1.7692573112599098e-09,98728.40358569998
2024-03-13,295.040390942,4.631762050799998,8.790774444444454e-07,98546.6149527
2024-03-14,295.43977000600006,4.6350382813599955,1.7692573112599098e-09,98791.7738676
2024-03-15,293.79534947900015,5.51571689676,1.7692573112599098e-09,98767.49656890001
2024-03-16,293.94243624100005,3.809131526770002,1.7692573112599098e-09,98891.74859659994
2024-03-17,294.36182772199976,3.9522353738,1.7692573112599098e-09,98829.27978590004
2024-03-18,295.16423819099987,3.911017246050003,1.7692573112599098e-09,98662.78484599998
2024-03-19,295.8451474010004,4.1286602436400015,1.7692573112599098e-09,98650.51107979998
2024-03-20,297.1545685910001,3.9264210109400004,1.7692573112599098e-09,98642.44290800001
2024-03-21,296.4689662139998,5.971880936610001,1.7692573112599098e-09,98590.76230820004
2024-03-22,298.321273963,4.50843142228,1.7692573112599098e-09,98236.65676452497
2024-03-23,299.0387333070001,4.931981787419999,1.7692573112599098e-09,98197.33008740006
2024-03-24,297.15405246100016,4.774479354620001,1.7692573112599098e-09,98509.87600279998
2024-03-25,298.9607414619999,5.16483323121,1.7692573112599098e-09,98539.14255389999
2024-03-26,300.0498406970002,4.367510584990002,1.7692573112599098e-09,98510.00403849999
2024-03-27,301.7357979550002,4.057709020479995,1.7692573112599098e-09,98605.29249289985
2024-03-28,302.1567491849998,4.033484095430003,1.7692573112599098e-09,98319.78052949999
2024-03-29,302.4921930730004,4.209690472840002,1.5283000000000006e-05,98253.7982903999
2024-03-30,301.44996440399996,4.932893326979999,1.5496000000000016e-05,98348.52502270004
2024-03-31,300.9997811679999,6.677108868759993,1.7692573112599098e-09,98426.74254495
2024-04-01,298.36611354699994,6.2836029246499985,1.7692573112599098e-09,98236.57796580001
2024-04-02,299.0029076750001,5.310862531609997,1.7692573112599098e-09,98153.78941970001
2024-04-03,301.324082308,3.4931294485199986,1.7692573112599098e-09,98202.21412600005
2024-04-04,301.98826632900017,4.233878965229999,1.7692573112599098e-09,98194.80579800002
2024-04-05,301.4470326969999,5.8074481090299965,1.1861009882607554e-07,98172.24423929994
2024-04-06,300.4180258749999,5.260165695619995,1.7692573112599098e-09,98172.03486029994
2024-04-07,300.5155970409997,4.99657284023,1.7692573112599098e-09,98171.58144449996
2024-04-08,301.75588049500016,4.483798872289999,1.7692573112599098e-09,98292.47422890004
2024-04-09,301.8518956000001,3.8793398472300034,1.7692573112599098e-09,98328.64374000001
2024-04-10,303.0474672240001,3.9717440852700014,1.0523459536019537e-06,98320.73914079995
2024-04-11,302.952096956,4.731414881700004,1.1931700476190474e-06,98420.63577539999
2024-04-12,304.15460428,4.388022862620001,1.7692573112599098e-09,98318.96351099997
2024-04-13,302.74066488100016,5.459462399919996,3.0453348448773446e-07,98329.24793349997
2024-04-14,301.25020487999996,5.399829970190003,1.0560312789987792e-06,98503.15227189995
2024-04-15,302.5472153310001,4.16792342135,5.375223333333334e-06,98447.62149390005
2024-04-16,303.03346706299993,7.452725728209999,1.7692573112599098e-09,98320.08299069999
2024-04-17,302.87929093199995,8.068523438210002,1.7692573112599098e-09,98213.67622549998
2024-04-18,304.3556551200004,6.264735956790003,9.42586666666667e-06,98012.61381249996
2024-04-19,304.99833586699987,5.947994375030004,1.1939999999999996e-05,97793.69798910008
2024-04-20,303.7633262029997,6.805679024470005,1.7692573112599098e-09,97821.76564420002
2024-04-21,304.02954418116667,6.191765337320003,1.7692573112599098e-09,97967.48933999994
2024-04-22,303.96913537600017,5.124884955839998,2.3675768526471563e-08,98010.9656627
2024-04-23,302.235055476,4.714917719939998,5.3560516666666675e-06,97974.88754379994
2024-04-24,303.5927581180001,5.614904729489999,1.7692573112599098e-09,97989.72335659993
2024-04-25,304.45745026599997,5.58274955807,1.7692573112599098e-09,97957.7265243
2024-04-26,305.69132616900026,5.604381661099996,1.7692573112599098e-09,97834.47900920003
2024-04-27,304.891998789,6.195253892910004,2.6729202777777783e-06,97981.67243300001
2024-04-28,304.909860517,4.703338338740002,5.062261641414139e-07,98031.3453074999
2024-04-29,304.06175098300025,5.795801670530002,1.3094547321597557e-07,98020.36552019995
2024-04-30,302.92274351599997,7.009057910220005,1.7692573112599098e-09,97809.49429810006
2024-05-01,301.0796084560002,8.065437230690005,1.7692573112599098e-09,97779.45443979994
2024-05-02,301.9308318779996,6.139839251729995,1.7692573112599098e-09,97852.90571090006
2024-05-03,304.64810549099997,5.63456744236,1.7692573112599098e-09,97933.21281210003
2024-05-04,306.28963256600014,4.662980179570001,1.7692573112599098e-09,97799.87412090003
2024-05-05,307.36389711699996,6.793734156969999,1.7692573112599098e-09,97521.2766293
2024-05-06,307.413670828,5.550254298469996,1.7692573112599098e-09,97741.83219049998
2024-05-07,307.9350901509998,5.100108624370003,1.7692573112599098e-09,97893.88410099995
2024-05-08,306.182248404,7.614057284910003,3.057875851370852e-07,97930.99129070007
2024-05-09,305.84414847500017,7.1953985011800015,1.7692573112599098e-09,97888.00345439995
2024-05-10,306.012074549,5.3319837021800005,5.774000000000004e-05,98020.46777499997
2024-05-11,305.50336471099985,5.2418566156200015,3.7868301587301583e-06,98202.8356659
2024-05-12,306.44534282600017,4.635391880769996,7.5278e-05,98154.64155969994
2024-05-13,306.36552034000016,3.9636771101199972,6.102999404761902e-07,98182.64116359994
2024-05-14,306.6279909970002,4.874952293849997,1.7692573112599098e-09,98190.4745725
2024-05-15,307.6306779000004,4.542595019579997,1.7692573112599098e-09,98178.80827209997
2024-05-16,308.5630983320002,4.016588675060003,1.7692573112599098e-09,98013.29943829995
2024-05-17,309.98559773300025,5.2072327066299975,1.7692573112599098e-09,97742.88664159995
2024-05-18,310.65922259699977,6.856482980430006,1.7692573112599098e-09,97474.00168810005
2024-05-19,311.082792992,6.571941076649995,1.7692573112599098e-09,97355.75841009997
2024-05-20,310.68284865399977,5.886393190539995,1.7692573112599098e-09,97480.88709240001
2024-05-21,309.74082890299997,5.754703124349999,1.7692573112599098e-09,97567.95022750007
2024-05-22,309.9808259359999,7.02600312691,1.4124949999999995e-06,97543.09597049998
